Item #,Seller Category,Item Description,Qty,Unit Retail,Ext. Retail,Brand,UPC,TCIN,Origin,Category,Condition,Product Class,Category Code,Division,Department,Optoro Condition,Pallet ID,Subcategory,Lot ID
LPTG3815396,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 26"" Adult Mountain Bike - Red",1,230.99,230.99,Schwinn,038675283572,89538615,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ36918,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4908921,BICYCLES-PHYSICAL FITNESS,"Kent Winslow 700c/28"" Adult Hybrid Bike - Green",1,230.99,230.99,Kent,016751227405,89514027,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBI49838,HYBRID,urc_bicycles_physical_fitness_20260327_202_p
LPTG3986499,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 26"" Adult Mountain Bike - Blue",1,230.99,230.99,Schwinn,038675283565,89538608,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ02620,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG3815398,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 24"" Mountain Bike - Silver",1,209.99,209.99,Schwinn,038675283558,89538609,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ36918,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG3986496,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 24"" Mountain Bike - Silver",1,209.99,209.99,Schwinn,038675283558,89538609,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ02620,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG3958458,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 26"" Adult Mountain Bike - Red",1,230.99,230.99,Schwinn,038675283572,89538615,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBJ15733,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG3986497,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 24"" Mountain Bike - Blue",1,209.99,209.99,Schwinn,038675283541,89538614,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ02620,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4908950,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 26"" Adult Mountain Bike - Red",1,230.99,230.99,Schwinn,038675283572,89538615,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTAZ71378,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG3983507,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 26"" Adult Mountain Bike - Blue",1,230.99,230.99,Schwinn,038675283565,89538608,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBJ15692,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4073153,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 24"" Mountain Bike - Silver",1,209.99,209.99,Schwinn,038675283558,89538609,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBI43343,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG3771532,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 24"" Mountain Bike - Silver",1,209.99,209.99,Schwinn,038675283558,89538609,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBF24381,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4902172,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 24"" Mountain Bike - Blue",1,209.99,209.99,Schwinn,038675283541,89538614,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBI43400,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4908927,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 24"" Mountain Bike - Silver",1,209.99,209.99,Schwinn,038675283558,89538609,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBI49838,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG3815394,BICYCLES-PHYSICAL FITNESS,"Mongoose Limestone 26"" Men's Mountain Bike - Blue",1,202.99,202.99,Mongoose,038675275959,86817295,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ36918,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG3983310,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 24"" Mountain Bike - Silver",1,209.99,209.99,Schwinn,038675283558,89538609,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ02598,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4013187,BICYCLES-PHYSICAL FITNESS,"Schwinn Ranger 24"" Mountain Bike - Blue",1,209.99,209.99,Schwinn,038675283541,89538614,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ02619,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG3877526,BICYCLES-PHYSICAL FITNESS,"Mongoose Limestone 26"" Men's Mountain Bike - Blue",1,202.99,202.99,Mongoose,038675275959,86817295,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBJ15733,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG3985008,BICYCLES-PHYSICAL FITNESS,"Schwinn Iris 20"" Youth Bike - Light Blue",1,144.49,144.49,Schwinn,038675291003,92401145,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ00002,YOUTH,urc_bicycles_physical_fitness_20260327_202_p
LPTG3958755,BICYCLES-PHYSICAL FITNESS,"Schwinn Piston 20"" Youth Bike - Silver",1,144.49,144.49,Schwinn,038675290990,92401143,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBJ15700,YOUTH,urc_bicycles_physical_fitness_20260327_202_p
LPTG3955431,BICYCLES-PHYSICAL FITNESS,"Schwinn Piston 20"" Youth Bike - Silver",1,144.49,144.49,Schwinn,038675290990,92401143,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ00001,YOUTH,urc_bicycles_physical_fitness_20260327_202_p
LPTG4906700,BICYCLES-PHYSICAL FITNESS,"Huffy Highland Mountain Bike - 26"" Wheels - 21 Speeds - M/L - Black",1,92.64,92.64,Huffy,028914363332,86854277,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBQ10609,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
LPTG4793350,BICYCLES-PHYSICAL FITNESS,Pacific 20'' Kids' Bike - Soarin Purple,1,106.24,106.24,Pacific,038675138179,86817297,China,OUTDOOR_SPORTS,USED_GOOD,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBI49833,YOUTH,urc_bicycles_physical_fitness_20260327_202_p
LPTG3771525,BICYCLES-PHYSICAL FITNESS,"Huffy Highland Mountain Bike - 26"" Wheels - 21 Speeds - M/L - Black",1,92.64,92.64,Huffy,028914363332,86854277,China,OUTDOOR_SPORTS,NEW,BICYCLES PHYSICAL FITNESS,82,SPORT,SPORTING GOODS,N,PTBF24381,MOUNTAIN,urc_bicycles_physical_fitness_20260327_202_p
